Protein IDs	Protein Names	Gene Names	Protein Descriptions	Uniprot IDs	RefSeq protein IDs	Refseq mRNA ID	ENSEMBL ID	MGI ID	Protein length [amino acids]	Protein molecular weight [kDa]	Protein copy number experiment [molecules/cell]	Protein copy number replicate [molecules/cell]	Protein copy number average [molecules/cell]	mRNA copy number experiment [molecules/cell]	mRNA copy number replicate [molecules/cell]	mRNA copy number average [molecules/cell]	Protein half-life experiment [h]	Protein half-life replicate [h]	Protein half-life average [h]	mRNA half-life experiment [h]	mRNA half-life replicate [h]	mRNA half-life average [h]	transcription rate (vsr) experiment [molecules/(cell*h)]	transcription rate (vsr) replicate [molecules/(cell*h)]	transcription rate (vsr) average [molecules/(cell*h)]	translation rate constant (ksp) experiment [molecules/(mRNA*h)]	translation rate constant (ksp) replicate [molecules/(mRNA*h)]	translation rate constant (ksp) average [molecules/(mRNA*h)]
IPI00128424.1	"Protein Dr1;Down-regulator of transcription 1;TATA-binding protein-associated phosphoprotein;Negative cofactor 2-beta"	Dr1	Protein Dr1	"Q91WV0;Q3UMQ2"	NP_080382	NM_026106	ENSMUST00000031190	MGI:1100515	176	19,43	32753,79	52487,59	41462,84	11,86	10,41	11,11	74,61	93,59	83,57	5,09	5,46	5,27	1,86	1,51	1,68	94,07	146,27	117,3
"IPI00115975.8;IPI00785426.1;IPI00895199.1"	Mixed lineage kinase domain-like protein	Mlkl	"Isoform 1 of Mixed lineage kinase domain-like protein;Isoform 2 of Mixed lineage kinase domain-like protein"	"Q9D2Y4-1;Q9D2Y4;Q9D2Y4-2"	NP_083281	NM_029005	ENSMUST00000056157	"MGI:1921818;MGI:1921818"	472	54,32	32690,25	17381,48	23837,05	14,71	23,37	18,54	80,24	78,04	79,13	6,48	9,05	7,66	1,89	2,23	2,05	74,42	22,77	41,17
"IPI00875500.1;IPI00654005.1;IPI00129026.1"	"Polymerase (RNA) II (DNA directed) polypeptide C;Putative uncharacterized protein;DNA-directed RNA polymerase II subunit RPB3;DNA-directed RNA polymerase II subunit C;DNA-directed RNA polymerase II 33 kDa polypeptide;RPB33;RPB31"	"Polr2c;Rpo2-3"	"polymerase (RNA) II (DNA directed) polypeptide C;Putative uncharacterized protein;DNA-directed RNA polymerase II subunit RPB3"	"Q99M46;Q9DB22;Q3UUX3;P97760"	NP_033116	NM_009090	"ENSMUST00000034235;ENSMUST00000109521"	"MGI:109299;MGI:109299;MGI:109299"	275	31,44	32678,35	24171,55	28104,91	9,8	14,14	11,78	33,56	33,29	33,43	7,69	5,82	6,69	1,09	1,94	1,46	151,45	72,23	104,59
IPI00458958.2	"RRP15-like protein;Ribosomal RNA-processing protein 15"	Rrp15	RRP15-like protein	Q9CYX7	NP_080317	NM_026041	ENSMUST00000001339	MGI:1914473	281	31,06	32666,83	21179,24	26303,21	NA	NA	NA	50,78	97,95	70,53	3,95	14,61	7,6	NA	NA	NA	NA	NA	NA
IPI00109212.3	Sorting nexin-2	Snx2	Sorting nexin-2	"Q9CWK8;Q3U5L3;Q91VZ1"	NP_080662	NM_026386	ENSMUST00000037850	MGI:1915054	519	58,47	32658,71	25732,01	28989,21	11,83	13,1	12,45	65,96	68,14	67,04	7,34	12,2	9,46	1,37	1	1,17	97,72	62,8	78,34
IPI00132960.2	"Aminoacylase-1;N-acyl-L-amino-acid amidohydrolase;ACY-1"	Acy1	Aminoacylase-1	Q99JW2	NP_079647	NM_025371	ENSMUST00000024031	MGI:87913	408	45,78	32620,62	25713,65	28961,96	10,15	8,21	9,13	219,47	NA	219,47	11,08	13,01	12	0,86	NA	0,86	90,62	NA	90,62
IPI00274656.6	"Mitochondrial-processing peptidase subunit beta;Beta-MPP;P-52"	Pmpcb	Mitochondrial-processing peptidase subunit beta	"Q9CXT8;Q3TET5"	NP_082707	NM_028431	ENSMUST00000030882	MGI:1920328	489	54,61	32587,78	25017,99	28553,12	37,53	32,9	35,14	14,24	17,01	15,56	13,2	15,76	14,42	2,82	2,09	2,43	63,75	47,45	55
"IPI00119079.6;IPI00108924.2;IPI00858036.1"	Putative uncharacterized protein	Serpinb9b	Putative uncharacterized protein	"Q3TJ69;Q6P217;Q9DAV6"	NP_035582	NM_011452	ENSMUST00000006392	MGI:894668	377	42,73	32581,7	7624,64	15761,46	11,07	3,39	6,12	126,36	NA	126,36	9,28	24,49	15,08	1,07	NA	1,07	89,65	NA	89,65
IPI00170345.1	"Parafibromin;Cell division cycle protein 73 homolog;Hyperparathyroidism 2 protein homolog"	Cdc73	Parafibromin	Q8JZM7	NP_666103	NM_145991	ENSMUST00000018337	MGI:2384876	531	60,58	32551,38	26706,04	29484,21	12,99	11,72	12,33	22,47	26,54	24,42	6,34	7,38	6,84	1,69	1,32	1,49	138,96	108,5	122,79
"IPI00109615.1;IPI00112222.1"	"Nucleoporin Nup37;Nucleoporin 37;Putative uncharacterized protein;MCG16783, isoform CRA_a"	"Nup37;mCG_16783"	"Nucleoporin Nup37;nucleoporin 37"	"Q9CWU9;Q9CZ80"	"NP_081467;NP_082610"	NM_027191	ENSMUST00000052355	"MGI:1919964;MGI:1919964"	326	36,73	32533,91	32372,59	32453,15	18,16	10,62	13,89	67,11	99,45	81,7	5,54	7,47	6,43	2,65	1,18	1,77	62,91	87,43	74,16
"IPI00153791.2;IPI00457454.1"	Nucleolar protein 11	Nol11	"Isoform 1 of Nucleolar protein 11;Isoform 2 of Nucleolar protein 11"	"Q8BJW5-1;Q8BJW5;Q8BJW5-2;A2A657"	"NP_598463;NP_001154801"	NM_133702	ENSMUST00000018577	"MGI:1916229;MGI:1916229"	723	80,82	32519,03	18387,17	24452,67	27,19	21,94	24,42	45,48	34,77	39,77	9,99	13,1	11,44	2,48	1,59	1,99	48,04	34,92	40,96
IPI00132224.1	"Riboflavin kinase;ATP:riboflavin 5'-phosphotransferase;Flavokinase;KOI-4"	Rfk	Riboflavin kinase	Q8CFV9	NP_062310	NM_019437	ENSMUST00000025617	MGI:1914688	155	17,44	32511,22	20854,76	26038,7	12,16	12,86	12,51	20,08	19,63	19,85	10,67	16,35	13,21	1,06	0,8	0,92	158,52	92,42	121,04
"IPI00406447.3;IPI00122349.1;IPI00881485.1;IPI00880785.1;IPI00881742.1"	"Collapsin response mediator protein 4A;Dihydropyrimidinase-related protein 3;Unc-33-like phosphoprotein;Putative uncharacterized protein"	"Dpysl3;Drp3;Ulip"	"Collapsin response mediator protein 4A;Dihydropyrimidinase-related protein 3;Putative uncharacterized protein"	"Q71H74;Q62188;Q3TAS8;Q3TT92"	"NP_033494;NP_001129558"	NM_009468	"ENSMUST00000091917;ENSMUST00000121805;ENSMUST00000025379;ENSMUST00000118043"	"MGI:1349762;MGI:1349762;MGI:1349762"	683	73,88	32474,05	26953,91	29585,52	17,62	13,69	15,53	74,92	67,02	70,86	9,76	7,76	8,7	1,64	1,48	1,56	63,06	63,05	63,06
"IPI00336958.3;IPI00889318.1;IPI00889311.1"	"Zinc finger CCCH domain-containing protein 15;DRG family-regulatory protein 1;Epo-immediate response gene protein FM22"	"Zc3h15;Dfrp1"	"Isoform 1 of Zinc finger CCCH domain-containing protein 15;Isoform 2 of Zinc finger CCCH domain-containing protein 15"	"Q3TIV5-1;Q3TIV5;B1B079;Q3TIV5-2"	NP_081210	NM_026934	ENSMUST00000081591	"MGI:1919747;MGI:1919747"	426	48,33	32435,46	33711,14	33067,15	45,2	38,58	41,76	29,36	33,6	31,41	4,93	7,72	6,17	7,29	4,18	5,52	34,55	36,87	35,69
"IPI00337930.4;IPI00874846.3;IPI00317134.3"	Cytoskeleton-associated protein 5	Ckap5	"Isoform 1 of Cytoskeleton-associated protein 5;Isoform 3 of Cytoskeleton-associated protein 5;Isoform 2 of Cytoskeleton-associated protein 5"	"A2AGT5-1;A2AGT5;Q4V782;Q6PB55;Q80U79;Q8K250;A2AGT5-3;A2AGT5-2"	"NP_001159461;NP_083713"	NM_001165989	ENSMUST00000111338	"MGI:1923036;MGI:1923036;MGI:1923036"	2032	225,63	32421,75	29089,41	30710,42	25,64	18,97	22,05	16,18	19,6	17,81	9,36	14,39	11,61	2,46	1,29	1,78	85,37	87,41	86,38
IPI00227640.1	"COMM domain-containing protein 3;Bmi-1 upstream gene protein"	"Commd3;Bup"	COMM domain-containing protein 3	"Q63829;Q5U5W6"	NP_680087	NM_147778	ENSMUST00000061158	MGI:88218	195	22,04	32390,73	51471,43	40831,33	16,64	15,98	16,31	37,11	40,82	38,92	6,4	5,11	5,72	2,16	2,45	2,3	84,49	123,76	102,26
IPI00120344.2	"FACT complex subunit SPT16;Facilitates chromatin transcription complex subunit SPT16;FACT 140 kDa subunit;FACTp140;Chromatin-specific transcription elongation factor 140 kDa subunit"	"Supt16h;Fact140;Factp140"	FACT complex subunit SPT16	Q920B9	NP_291096	NM_033618	ENSMUST00000046709	MGI:1890948	1047	119,82	32377,4	21044,93	26103,26	21,91	19,48	20,66	56,53	77,33	66,12	8,55	12,05	10,15	2,25	1,5	1,84	54,92	33,24	42,72
"IPI00757372.2;IPI00120714.3;IPI00857776.1"	Isochorismatase domain-containing protein 2A, mitochondrial	"Isoc2a;Isoc2"	Isochorismatase domain-containing protein 2A, mitochondrial	"P85094;B2RY90"	NP_001095068	NM_001101598		MGI:3609243	206	22,42	32230,4	31703,26	31965,74	4,13	3,86	3,99	438,95	NA	438,95	10,44	6,96	8,53	0,37	NA	0,37	NA	NA	NA
IPI00225390.5	"Cytochrome c oxidase subunit 6B1;Cytochrome c oxidase subunit VIb isoform 1"	"Cox6b1;Cox6b"	Cytochrome c oxidase subunit 6B1	P56391	NP_079904	NM_025628	ENSMUST00000075738	MGI:107460	86	10,07	32149,41	71541,62	47958,53	209,73	143,59	173,54	62,03	133,3	90,93	15,76	14,6	15,17	14	9,63	11,61	5,55	13,48	8,65
IPI00124501.1	Galectin-related protein A	Grpa	Galectin-related protein A	Q8VED9	NP_776113	NM_173752	ENSMUST00000047028	MGI:1916114	172	18,95	32131,97	47412,76	39031,59	7,79	10,48	9,04	44,19	67,8	54,74	4,78	4,57	4,67	1,29	1,77	1,51	166,25	143,56	154,49
"IPI00117375.1;IPI00648280.2;IPI00649904.3;IPI00647998.3;IPI00649618.1;IPI00649387.1"	"Syntenin-1;Syndecan-binding protein 1;Scaffold protein Pbp1;Putative uncharacterized protein;Syndecan binding protein;MCG4375, isoform CRA_b"	"Sdcbp;RP23-89L15.4-002;mCG_4375;RP23-89L15.4-005;RP23-89L15.4-003"	"Syntenin-1;syndecan binding protein isoform 2;Syndecan binding protein;Syndecan binding protein"	"O08992;O88601;Q3TET7;Q3TWV1;Q3TXC7;Q3U6J5;Q3U6Q3;Q3U724;Q3U902;Q3UB97;Q3UBE4;Q3TMX0;Q3UC68;A2AKJ6;A2AKJ9"	"NP_001091697;NP_058087"	NM_001098227	"ENSMUST00000029912;ENSMUST00000103008;ENSMUST00000108374"	"MGI:1337026;MGI:1337026;MGI:1337026;MGI:1337026"	299	32,38	32125,93	37294,6	34613,92	36,19	32,34	34,21	10,16	8,61	9,35	12,85	13,05	12,95	2,76	2,35	2,55	82,42	117,35	98,34
"IPI00120100.3;IPI00929859.1;IPI00227966.1;IPI00880751.1;IPI00880710.1;IPI00648973.1;IPI00881577.1;IPI00885301.1"	"Prolyl 4-hydroxylase subunit alpha-2;4-PH alpha-2;Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2;Procollagen-proline, 2-oxoglutarate 4-dioxygenase (Proline 4-hydroxylase), alpha II polypeptide;Procollagen-proline, 2-oxoglutarate 4-dioxygenase (Proline 4-hydroxylase), alpha II polypeptide, isoform CRA_f"	"P4ha2;RP23-309E16.6-002;mCG_13782"	"Isoform IIb of Prolyl 4-hydroxylase subunit alpha-2;prolyl 4-hydroxylase, alpha II subunit isoform 2;Isoform IIa of Prolyl 4-hydroxylase subunit alpha-2"	"Q60716-1;Q60716;Q5SX75;Q60716-2;Q3UQ81;Q5SX74"	"NP_035161;NP_001129548"	NM_011031	"ENSMUST00000019050;ENSMUST00000093107"	"MGI:894286;MGI:894286;MGI:894286"	537	61	32093,78	52384,59	41002,68	15,56	20,69	17,94	63,47	74,24	68,64	14,65	26,73	19,79	1,09	0,96	1,02	74,13	79,08	76,56
"IPI00752108.1;IPI00403823.1;IPI00756875.1;IPI00676489.1;IPI00753220.1;IPI00663949.1;IPI00754401.1;IPI00757459.1;IPI00750243.1;IPI00754980.1;IPI00658280.1;IPI00751207.1;IPI00752631.1"	"Catenin delta-1;p120 catenin;Cadherin-associated Src substrate;p120(cas);Putative uncharacterized protein"	"Ctnnd1;Catns;Kiaa0384"	"108 kDa protein;Isoform 1 of Catenin delta-1;107 kDa protein;104 kDa protein;102 kDa protein;99 kDa protein;101 kDa protein;98 kDa protein;97 kDa protein;97 kDa protein;catenin, delta 1 isoform 3;96 kDa protein;68 kDa protein"	"P30999-1;P30999;Q3UF77"	"NP_001078919;NP_031641;NP_001078918"	NM_001085450	"ENSMUST00000067232;ENSMUST00000111691;ENSMUST00000111694;ENSMUST00000111697;ENSMUST00000066177;ENSMUST00000111670;ENSMUST00000111676;ENSMUST00000111677;ENSMUST00000111686;ENSMUST00000111687;ENSMUST00000111688;ENSMUST00000111690;ENSMUST00000111692;ENSMUST00000111693;ENSMUST00000111695;ENSMUST00000111696;ENSMUST00000111698"	"MGI:105100;MGI:105100"	967	108,17	32083,17	70446,93	47541,15	30,06	44,88	36,73	18,14	16,47	17,28	9,2	15,76	12,04	2,92	2,86	2,89	67,14	100,02	81,95
"IPI00229310.1;IPI00350411.3"	"Ubiquitin-conjugating enzyme E2 R1;Ubiquitin-protein ligase R1;Ubiquitin-conjugating enzyme E2-32 kDa complementing;E2-CDC34"	"Cdc34;Ube2r1"	"Ubiquitin-conjugating enzyme E2 R1;27 kDa protein"	Q8CFI2	"NP_808281;XP_001478177"	NM_177613	ENSMUST00000020550	MGI:102657	235	26,62	32063,45	8017,55	16033,41	65,03	43,01	52,89	13,8	12,18	12,97	8,96	9,46	9,2	6,45	3,97	5,06	36,87	14,57	23,18
IPI00132487.1	"Ribosomal protein 63, mitochondrial;mMRP63"	Mrp63	Ribosomal protein 63, mitochondrial	Q9CQF8	NP_080677	NM_026401	ENSMUST00000022538	MGI:1915090	102	11,95	32039,09	18217,41	24159,25	6,85	3,82	5,12	52,62	84,53	66,69	21,32	18,37	19,79	0,38	0,22	0,29	178,8	143,36	160,1
"IPI00118995.3;IPI00475343.1"	"Dolichyl-phosphate beta-glucosyltransferase;Asparagine-linked glycosylation protein 5"	Alg5	Putative uncharacterized protein (Fragment)	"Q9DB25;Q9CTE8"	NP_079718	NM_025442	ENSMUST00000044567	MGI:1913498	356	40,32	32025,98	26314,93	29030,35	23,12	18,17	20,49	61,56	53	57,12	8,46	9,43	8,93	2,4	1,68	2,01	50,11	50,38	50,25
"IPI00226576.1;IPI00853658.1"	TPR repeat-containing protein C12orf30 homolog	"C330023M02Rik;mCG_142191"	"Isoform 1 of N-terminal acetyltransferase B complex subunit MDM20;Isoform 2 of N-terminal acetyltransferase B complex subunit MDM20"	"Q8BWZ3-1;Q8BWZ3;B2RQV1;Q8BKH5;Q8BKI9;Q8BY54;Q8BWZ3-2"	NP_766310	NM_172722	ENSMUST00000042163	"MGI:2442563;MGI:2442563"	972	111,71	31946,86	32196,5	32071,44	29,44	23,05	26,05	89,88	125,75	106,31	6,37	6,53	6,45	3,83	2,87	3,31	35,35	37,99	36,65
"IPI00126011.1;IPI00947600.1"	"28S ribosomal protein S2, mitochondrial;S2mt;MRP-S2"	Mrps2	"28S ribosomal protein S2, mitochondrial;mitochondrial ribosomal protein S2 isoform 2"	"Q924T2;Q8BQ99"	"NP_536700;NP_001159503"	NM_080452	ENSMUST00000038600	MGI:2153089	291	32,31	31941,68	23240,68	27246,03	20,27	19,15	19,7	72,24	80,61	76,31	5,16	5,68	5,42	3,14	2,68	2,9	54,16	36,66	44,56
"IPI00828490.2;IPI00828543.3;IPI00776411.1;IPI00755545.4"	"Host cell factor;HCF-1;C1 factor;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6;Host cell factor C1"	"Hcfc1;RP23-252M19.5-001"	"Host cell factor C1;Host cell factor C1"	"Q61191;B1AUX2;B1AUX1;Q3USQ6"	NP_032250	NM_008224	"ENSMUST00000033761;ENSMUST00000114372"	"MGI:105942;MGI:105942"	2090	215,05	31873,39	18224,18	24101,17	39,91	45,44	42,58	35,5	46,47	40,61	12,58	14,78	13,63	3,09	3,02	3,06	35,52	14,72	22,87
"IPI00719950.2;IPI00620622.2;IPI00222801.5;IPI00129487.5;IPI00649763.1;IPI00760068.1;IPI00758150.2;IPI00230138.7;IPI00758351.2;IPI00462777.3;IPI00311661.2"	"Rous sarcoma oncogene;Src;Neuronal proto-oncogene tyrosine-protein kinase Src;pp60c-src"	"Src;RP23-169M4.1-006;mCG_21979;RP23-169M4.1-001"	"Rous sarcoma oncogene isoform 1;Rous sarcoma oncogene isoform 2;Neuronal proto-oncogene tyrosine-protein kinase Src"	"Q2M4I4;Q3UKD6;Q80XU2;P05480"	"NP_033297;NP_001020566"	NM_009271	"ENSMUST00000092576;ENSMUST00000109529;ENSMUST00000029175;ENSMUST00000109531;ENSMUST00000109533"	"MGI:98397;MGI:98397;MGI:98397"	541	60,64	31871,8	36247,32	33989,22	39,66	49,04	44,1	30,25	24,85	27,42	9,1	7,39	8,2	3,89	5,51	4,63	38,36	36,48	37,41
"IPI00119714.2;IPI00828228.1;IPI00223407.1"	"Upstream binding transcription factor, RNA polymerase I;Upstream binding transcription factor, RNA polymerase I, isoform CRA_b;Upstream binding transcription factor, RNA polymerase I, isoform CRA_a;Nucleolar transcription factor 1;Upstream-binding factor 1"	"Ubtf;RP23-461C4.7-001;mCG_140722;RP23-461C4.7-003;Tcfubf;Ubf-1;Ubf1"	"Upstream binding transcription factor, RNA polymerase I, isoform CRA_b;upstream binding transcription factor, RNA polymerase I isoform 2;Isoform UBF2 of Nucleolar transcription factor 1"	"A2AWT7;Q9DBH1;A2AWT6;P25976-2;P25976"	NP_001037848	NM_001044383	"ENSMUST00000006754;ENSMUST00000107123;ENSMUST00000107115;ENSMUST00000107117;ENSMUST00000107119;ENSMUST00000107121;ENSMUST00000079589"	"MGI:98512;MGI:98512;MGI:98512"	752	88,39	31865,87	36268,66	33996,06	34,43	38,71	36,51	28,56	28,53	28,55	11,78	15,03	13,31	2,79	2,54	2,67	45,51	43,13	44,3
"IPI00322193.2;IPI00670522.3;IPI00462308.2"	"AP-3 complex subunit sigma-1;Adapter-related protein complex 3 sigma-1 subunit;AP-3 complex sigma-3A subunit;Sigma-adaptin 3a;Sigma-3A-adaptin;Sigma3A-adaptin"	Ap3s1	"AP-3 complex subunit sigma-1;similar to adaptor-related protein complex 3, sigma 1 subunit;similar to adaptor-related protein complex 3, sigma 1 subunit"	"Q9DCR2;Q3U8S0"	"NP_033811;XP_917136;XP_981516;XP_486145;XP_996240"		ENSMUST00000025357	MGI:1337062	193	21,73	31858,38	18904,83	24541,34	NA	NA	NA	112,18	114,56	113,36	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00116360.3	"60 kDa SS-A/Ro ribonucleoprotein;TROVE domain family member 2"	"Trove2;Ssa2"	60 kDa SS-A/Ro ribonucleoprotein	"O08848;Q3TJ75;Q80W12;Q8R562"	NP_038863	NM_013835	ENSMUST00000018343	MGI:106652	538	60,12	31856,2	26553,21	29084,09	5,53	5,19	5,36	54,47	46,06	50,09	6,77	10,68	8,51	0,68	0,44	0,55	216,47	188,15	201,81
"IPI00621502.2;IPI00123912.4;IPI00623093.1;IPI00653171.2;IPI00857133.1;IPI00121744.3"	"tRNA pseudouridine synthase A;tRNA-uridine isomerase I;tRNA pseudouridylate synthase I"	"Pus1;MNCb-0873"	"Isoform 1 of tRNA pseudouridine synthase A;Isoform 2 of tRNA pseudouridine synthase A;pseudouridine synthase 1 isoform 1;Isoform 4 of tRNA pseudouridine synthase A"	"Q9WU56-1;Q9WU56;Q3TT85;Q9WU56-2;Q9WU56-3;Q9WU56-4"	"NP_062674;NP_001020733;NP_001020732"	NM_019700	"ENSMUST00000031483;ENSMUST00000086643;ENSMUST00000100906"	"MGI:1929237;MGI:1929237;MGI:1929237;MGI:1929237"	423	47,5	31808,82	20902,02	25785,04	38,06	26,7	31,88	36,69	39,71	38,17	6,02	5,72	5,87	5,18	3,72	4,39	36,44	30,48	33,33
IPI00315230.2	Transmembrane protein 93	Tmem93	Transmembrane protein 93	"Q9CQW0;B2KGB6"	"NP_001161942;NP_079594"	NM_025318	"ENSMUST00000054952;ENSMUST00000108480"	MGI:1913298	110	12,02	31808,25	14767,64	21673,32	29,81	28,63	29,21	47,86	55,15	51,38	8,89	7,76	8,31	2,98	3,09	3,03	42,01	17,66	27,24
"IPI00123949.3;IPI00856761.1;IPI00857420.1;IPI00856975.1;IPI00856611.1"	"THO complex subunit 6 homolog;WD repeat-containing protein 58"	"Thoc6;Wdr58"	"THO complex subunit 6 homolog;33 kDa protein;37 kDa protein;Protein"	Q5U4D9	NP_001008425	NM_001008425	"ENSMUST00000047436;ENSMUST00000095579"	MGI:2677480	341	37,31	31802,94	32084,15	31943,23	11,44	10,32	10,86	149,15	NA	149,15	5,06	4,52	4,78	1,8	NA	1,8	81,97	NA	81,97
IPI00380780.7	"Elongator complex protein 1;IkappaB kinase complex-associated protein"	"Ikbkap;Elp1;Ikap"	Elongator complex protein 1	"Q7TT37;Q3TD73"	NP_080355	NM_026079	ENSMUST00000030140	MGI:1914544	1333	149,58	31693,02	15703,32	22308,87	18,83	15,11	16,87	32,55	25,64	28,89	11,12	12,19	11,64	1,59	1,15	1,35	77,74	50,6	62,72
IPI00929832.1	Nucleoporin 205	Nup205	nucleoporin 205	"B0LAE1;B9EJ54;Q3UFI7;Q6P9L5;Q6P9Y6;Q6PDG0;Q6ZQG1;Q80VE6;Q9D6C1"	NP_081789	NM_027513	ENSMUST00000043815	MGI:2141625	2008	227,46	31686,18	25661,07	28514,93	30,84	22,66	26,43	51,54	59,96	55,59	15,09	11,93	13,42	2,12	1,75	1,93	39,52	37,76	38,63
"IPI00133384.1;IPI00655231.1;IPI00458232.3;IPI00849325.1"	ORM1-like protein 2	Ormdl2	"Isoform 1 of ORM1-like protein 2;Isoform 2 of ORM1-like protein 2"	"Q9CQZ0-1;Q9CQZ0;Q9CQZ0-2"	NP_077142	NM_024180	"ENSMUST00000026409;ENSMUST00000116228"	"MGI:1914094;MGI:1914094"	153	17,39	31684,64	17435,97	23504,31	NA	NA	NA	12,55	12,05	12,3	9,13	12,98	10,89	NA	NA	NA	NA	NA	NA
"IPI00310764.7;IPI00900401.1;IPI00828540.1;IPI00828583.1"	"Rho guanine nucleotide exchange factor 2;Guanine nucleotide exchange factor H1;Lymphoid blast crisis-like 1;LBC'S first cousin;Oncogene LFC;Rhobin"	"Arhgef2;Kiaa0651;Lbcl1;Lfc"	"Isoform 1 of Rho guanine nucleotide exchange factor 2;Isoform 5 of Rho guanine nucleotide exchange factor 2;Isoform 3 of Rho guanine nucleotide exchange factor 2;Isoform 2 of Rho guanine nucleotide exchange factor 2"	"Q60875-1;Q60875;Q3TYZ4;Q60875-5;Q60875-3;Q60875-2"	NP_032513	NM_008487	"ENSMUST00000029694;ENSMUST00000107510"	"MGI:103264;MGI:103264;MGI:103264;MGI:103264"	985	111,94	31540,84	39316,05	35214,5	48,72	43,12	45,83	22,92	26,57	24,68	7,16	6,34	6,74	5,76	5,5	5,63	35,54	43,31	39,23
IPI00225318.3	39S ribosomal protein L22, mitochondrial	Mrpl22	39S ribosomal protein L22, mitochondrial	Q8BU88	NP_778166	NM_175001	ENSMUST00000020820	MGI:1333794	206	23,8	31523,19	15544,9	22136,5	32,4	34,03	33,21	38,06	43,9	40,87	8,07	6,78	7,4	3,49	4,1	3,78	41,87	17,07	26,73
"IPI00468802.5;IPI00649402.2;IPI00459789.2"	"Methionine adenosyltransferase 2 subunit beta;Methionine adenosyltransferase II beta;Methionine adenosyltransferase 2 beta subunit"	Mat2b	"Isoform 1 of Methionine adenosyltransferase 2 subunit beta;Isoform 2 of Methionine adenosyltransferase 2 subunit beta"	"Q99LB6-1;Q99LB6;Q99LB6-2"	NP_598778	NM_134017	"ENSMUST00000040167;ENSMUST00000101347"	"MGI:1913667;MGI:1913667"	334	37,39	31507,63	43253,78	36916,44	12,98	14,93	13,92	87,37	150,87	114,81	5,84	6,34	6,09	1,81	1,9	1,86	79,56	76,18	77,85
"IPI00761260.1;IPI00135238.2;IPI00880406.1"	"ADP-ribosylation factor-like protein 6;Putative uncharacterized protein"	Arl6	"ADP-ribosylation factor-like protein 6;Putative uncharacterized protein;22 kDa protein"	"O88848;Q3TUM2;Q3U6U3;Q8VCV3;Q3TY77"	NP_062639	NM_019665	"ENSMUST00000023405;ENSMUST00000099646;ENSMUST00000118438"	"MGI:1927136;MGI:1927136"	186	20,96	31466,65	23247,56	27046,68	4,28	7,7	5,74	59,3	58,99	59,14	7,91	8,87	8,38	0,47	0,75	0,59	268,85	101,05	164,83
"IPI00850336.2;IPI00761434.1;IPI00669264.1"	"DNA-directed RNA polymerases I, II, and III subunit RPABC5;DNA-directed RNA polymerase III subunit L;RPB10"	Polr2l	"DNA-directed RNA polymerases I, II, and III subunit RPABC5;similar to RNA polymerase II subunit;similar to RNA polymerase II subunit"	P62876	"NP_079869;XP_001480824;XP_001480836;XP_895065;XP_908369;XP_910626"	NM_025593	ENSMUST00000043870	MGI:1913741	67	7,64	31413,98	24210,62	27578,1	NA	NA	NA	26,23	21,77	23,89	7,52	12,35	9,64	NA	NA	NA	NA	NA	NA
IPI00132903.1	"Ufm1-conjugating enzyme 1;Ubiquitin-fold modifier-conjugating enzyme 1"	Ufc1	Ubiquitin-fold modifier-conjugating enzyme 1	Q9CR09	NP_079664	NM_025388	"ENSMUST00000080001;ENSMUST00000111302"	MGI:1913405	167	19,48	31378	52266,67	40497,21	44,76	41,03	42,85	40,12	35,42	37,7	11,91	12,32	12,12	3,6	3,1	3,34	29,6	52,61	39,46
"IPI00170126.4;IPI00788337.1;IPI00788353.1"	"Presequence protease, mitochondrial;Pitrilysin metalloproteinase 1"	"Pitrm1;Kiaa1104;Ntup1"	"Isoform 1 of Presequence protease, mitochondrial;Isoform 2 of Presequence protease, mitochondrial;Isoform 3 of Presequence protease, mitochondrial"	"Q8K411-1;Q8K411;Q8K411-2;Q8K411-3"	NP_660113	NM_145131	"ENSMUST00000021611;ENSMUST00000110683"	"MGI:1916867;MGI:1916867;MGI:1916867"	1036	117,37	31361,81	35178,67	33215,46	30,2	22,23	25,91	203,13	1202,7	494,27	18,78	17,56	18,16	1,81	1,32	1,54	29,6	35,56	32,45
"IPI00944183.1;IPI00462753.1"	"UPF0197 transmembrane protein C11orf10 homolog;1810006K21Rik protein"	"1810006K21Rik;mCG_1963"	"UPF0197 transmembrane protein C11orf10 homolog;1810006K21Rik protein"	"P61166;Q60FD1;Q8R3P3"	NP_081195	NM_026919	ENSMUST00000040372	"MGI:1916288;MGI:1916288"	79	9,08	31355,55	30073,15	30707,66	76,41	77,77	77,09	133,29	205,71	165,59	12,19	15,99	13,97	6,05	4,9	5,45	12,41	9,76	11,01
IPI00127501.1	Protein C10	"Grcc10;C10"	Protein C10	O35127	NP_038563	NM_013535	ENSMUST00000004389	MGI:1315201	126	13,19	31293,76	21480,48	25926,92	24,84	33,3	28,76	13,18	13,97	13,57	12,4	13,25	12,82	1,95	2,39	2,16	97,35	45,87	66,82
